entry_id,agent_id,timestamp,type,amount,opening_cash,current_cash,provider_ref,provider_txn_id
DRW-TXN-500019,AGENT-006,2024-07-17T21:45:53Z,cash_in,1500,128000,129500,bkash,BK-TXN-100014
DRW-TXN-500020,AGENT-007,2024-07-17T20:15:52Z,cash_out,-20000,110000,90000,rocket,RO-TXN-300001
DRW-TXN-500021,AGENT-007,2024-07-17T18:30:50Z,cash_out,-3000,90000,87000,nagad,NA-TXN-200006
DRW-TXN-500022,AGENT-008,2024-07-17T12:45:03Z,cash_in,10000,160000,170000,nagad,NA-TXN-200007
DRW-TXN-500023,AGENT-008,2024-07-17T19:45:52Z,cash_out,-10000,170000,160000,nagad,NA-TXN-200008
DRW-TXN-500024,AGENT-008,2024-07-17T10:45:17Z,cash_in,500,160000,160500,rocket,RO-TXN-300002
DRW-TXN-500025,AGENT-001,2024-07-18T12:45:16Z,cash_out,-1500,140000,138500,rocket,RO-TXN-300003
DRW-TXN-500026,AGENT-001,2024-07-18T21:30:48Z,cash_in,2000,138500,140500,bkash,BK-TXN-100015
DRW-TXN-500027,AGENT-001,2024-07-18T18:00:29Z,cash_out,-3000,140500,137500,rocket,RO-TXN-300004
DRW-TXN-500028,AGENT-001,2024-07-18T14:00:50Z,cash_out,-25000,137500,112500,nagad,NA-TXN-200009
DRW-TXN-500029,AGENT-001,2024-07-18T12:45:56Z,cash_out,-10000,112500,102500,bkash,BK-TXN-100016
DRW-TXN-500030,AGENT-002,2024-07-18T17:00:50Z,cash_out,-500,282000,281500,bkash,BK-TXN-100017
DRW-TXN-500031,AGENT-002,2024-07-18T21:00:05Z,cash_out,-25000,281500,256500,bkash,BK-TXN-100018
DRW-TXN-500032,AGENT-002,2024-07-18T10:30:09Z,cash_out,-10000,256500,246500,bkash,BK-TXN-100019
DRW-TXN-500033,AGENT-003,2024-07-18T17:00:42Z,cash_out,-3000,154500,151500,bkash,BK-TXN-100020
DRW-TXN-500034,AGENT-003,2024-07-18T12:15:23Z,cash_out,-8000,151500,143500,bkash,BK-TXN-100021
DRW-TXN-500035,AGENT-003,2024-07-18T17:15:57Z,cash_in,10000,143500,153500,nagad,NA-TXN-200010
DRW-TXN-500036,AGENT-003,2024-07-18T11:00:04Z,cash_out,-25000,153500,128500,rocket,RO-TXN-300005
DRW-TXN-500037,AGENT-003,2024-07-18T13:30:44Z,cash_in,20000,128500,148500,nagad,NA-TXN-200011
DRW-TXN-500038,AGENT-003,2024-07-18T12:00:05Z,cash_out,-5000,148500,143500,nagad,NA-TXN-200012
DRW-TXN-500039,AGENT-003,2024-07-18T08:15:42Z,cash_out,-25000,143500,118500,bkash,BK-TXN-100022
DRW-TXN-500040,AGENT-004,2024-07-18T15:00:08Z,cash_out,-8000,190000,182000,bkash,BK-TXN-100023
DRW-TXN-500041,AGENT-004,2024-07-18T16:15:01Z,cash_out,-500,182000,181500,nagad,NA-TXN-200013
DRW-TXN-500042,AGENT-004,2024-07-18T15:45:39Z,cash_in,15000,181500,196500,nagad,NA-TXN-200014
DRW-TXN-500043,AGENT-004,2024-07-18T08:45:32Z,cash_out,-500,196500,196000,rocket,RO-TXN-300006
DRW-TXN-500044,AGENT-004,2024-07-18T14:30:54Z,cash_out,-15000,196000,181000,bkash,BK-TXN-100024
DRW-TXN-500045,AGENT-005,2024-07-18T14:15:44Z,cash_out,-10000,108000,98000,rocket,RO-TXN-300007
DRW-TXN-500046,AGENT-005,2024-07-18T15:15:33Z,cash_in,3000,98000,101000,bkash,BK-TXN-100025
DRW-TXN-500047,AGENT-006,2024-07-18T18:00:56Z,cash_out,-1500,129500,128000,nagad,NA-TXN-200015
DRW-TXN-500048,AGENT-006,2024-07-18T22:00:25Z,cash_in,20000,128000,148000,bkash,BK-TXN-100026
DRW-TXN-500049,AGENT-006,2024-07-18T16:30:16Z,cash_in,5000,148000,153000,rocket,RO-TXN-300008
DRW-TXN-500050,AGENT-006,2024-07-18T22:15:07Z,cash_out,-2000,153000,151000,nagad,NA-TXN-200016
DRW-TXN-500051,AGENT-007,2024-07-18T12:30:51Z,cash_in,20000,87000,107000,nagad,NA-TXN-200017
DRW-TXN-500052,AGENT-007,2024-07-18T15:00:28Z,cash_out,-1500,107000,105500,bkash,BK-TXN-100027
DRW-TXN-500053,AGENT-007,2024-07-18T23:15:38Z,cash_out,-500,105500,105000,nagad,NA-TXN-200018
DRW-TXN-500054,AGENT-007,2024-07-18T10:45:34Z,cash_out,-1000,105000,104000,nagad,NA-TXN-200019
DRW-TXN-500055,AGENT-008,2024-07-18T21:15:14Z,cash_in,1500,160500,162000,rocket,RO-TXN-300009
DRW-TXN-500056,AGENT-008,2024-07-18T18:45:22Z,cash_out,-15000,162000,147000,bkash,BK-TXN-100028
DRW-TXN-500057,AGENT-001,2024-07-19T18:00:19Z,cash_in,2000,102500,104500,rocket,RO-TXN-300010
DRW-TXN-500058,AGENT-001,2024-07-19T13:30:17Z,cash_in,10000,104500,114500,bkash,BK-TXN-100029
DRW-TXN-500059,AGENT-001,2024-07-19T08:45:04Z,cash_out,-20000,114500,94500,bkash,BK-TXN-100030
DRW-TXN-500060,AGENT-002,2024-07-19T11:00:58Z,cash_out,-15000,246500,231500,bkash,BK-TXN-100031
DRW-TXN-500061,AGENT-002,2024-07-19T13:45:25Z,cash_out,-2000,231500,229500,bkash,BK-TXN-100032
DRW-TXN-500062,AGENT-002,2024-07-19T19:30:01Z,cash_in,25000,229500,254500,bkash,BK-TXN-100033
DRW-TXN-500063,AGENT-002,2024-07-19T13:00:51Z,cash_out,-25000,254500,229500,bkash,BK-TXN-100034
DRW-TXN-500064,AGENT-002,2024-07-19T15:30:04Z,cash_out,-8000,229500,221500,nagad,NA-TXN-200020
DRW-TXN-500065,AGENT-003,2024-07-19T17:15:19Z,cash_in,8000,118500,126500,bkash,BK-TXN-100035
DRW-TXN-500066,AGENT-003,2024-07-19T11:00:10Z,cash_in,8000,126500,134500,bkash,BK-TXN-100036
DRW-TXN-500067,AGENT-003,2024-07-19T10:15:18Z,cash_out,-5000,134500,129500,bkash,BK-TXN-100037
DRW-TXN-500068,AGENT-004,2024-07-19T13:30:52Z,cash_out,-3000,181000,178000,nagad,NA-TXN-200021
DRW-TXN-500069,AGENT-004,2024-07-19T13:00:51Z,cash_in,20000,178000,198000,bkash,BK-TXN-100038
DRW-TXN-500070,AGENT-004,2024-07-19T13:15:51Z,cash_out,-25000,198000,173000,bkash,BK-TXN-100039
DRW-TXN-500071,AGENT-004,2024-07-19T15:45:10Z,cash_out,-2000,173000,171000,bkash,BK-TXN-100040
DRW-TXN-500072,AGENT-004,2024-07-19T12:45:22Z,cash_in,5000,171000,176000,bkash,BK-TXN-100041
DRW-TXN-500073,AGENT-005,2024-07-19T18:45:22Z,cash_out,-1000,101000,100000,nagad,NA-TXN-200022
DRW-TXN-500074,AGENT-005,2024-07-19T13:15:16Z,cash_in,15000,100000,115000,rocket,RO-TXN-300011
DRW-TXN-500075,AGENT-005,2024-07-19T21:15:34Z,cash_out,-3000,115000,112000,bkash,BK-TXN-100042
DRW-TXN-500076,AGENT-006,2024-07-19T13:30:57Z,cash_out,-2000,151000,149000,bkash,BK-TXN-100043
DRW-TXN-500077,AGENT-006,2024-07-19T14:45:03Z,cash_out,-3000,149000,146000,bkash,BK-TXN-100044
DRW-TXN-500078,AGENT-006,2024-07-19T21:15:04Z,cash_in,500,146000,146500,bkash,BK-TXN-100045
DRW-TXN-500079,AGENT-006,2024-07-19T16:00:03Z,cash_out,-1500,146500,145000,bkash,BK-TXN-100046
DRW-TXN-500080,AGENT-007,2024-07-19T09:30:50Z,cash_in,1500,104000,105500,bkash,BK-TXN-100047
DRW-TXN-500081,AGENT-007,2024-07-19T20:15:41Z,cash_out,-1500,105500,104000,rocket,RO-TXN-300012
DRW-TXN-500082,AGENT-007,2024-07-19T19:30:14Z,cash_out,-20000,104000,84000,bkash,BK-TXN-100048
DRW-TXN-500083,AGENT-007,2024-07-19T13:00:24Z,cash_out,-500,84000,83500,bkash,BK-TXN-100049
DRW-TXN-500084,AGENT-008,2024-07-19T14:45:07Z,cash_in,20000,147000,167000,bkash,BK-TXN-100050
DRW-TXN-500085,AGENT-008,2024-07-19T14:15:33Z,cash_out,-15000,167000,152000,bkash,BK-TXN-100051
DRW-TXN-500086,AGENT-008,2024-07-19T18:00:09Z,cash_out,-1500,152000,150500,bkash,BK-TXN-100052
DRW-TXN-500087,AGENT-001,2024-07-20T20:15:27Z,cash_out,-10000,94500,84500,bkash,BK-TXN-100053
DRW-TXN-500088,AGENT-001,2024-07-20T16:45:33Z,cash_in,15000,84500,99500,bkash,BK-TXN-100054
DRW-TXN-500089,AGENT-001,2024-07-20T12:15:43Z,cash_out,-1500,99500,98000,bkash,BK-TXN-100055
DRW-TXN-500090,AGENT-001,2024-07-20T11:45:16Z,cash_out,-2000,98000,96000,bkash,BK-TXN-100056
DRW-TXN-500091,AGENT-001,2024-07-20T17:45:35Z,cash_out,-20000,96000,76000,bkash,BK-TXN-100057
DRW-TXN-500092,AGENT-002,2024-07-20T13:15:57Z,cash_out,-10000,221500,211500,nagad,NA-TXN-200023
DRW-TXN-500093,AGENT-002,2024-07-20T19:45:19Z,cash_in,1000,211500,212500,rocket,RO-TXN-300013
DRW-TXN-500094,AGENT-002,2024-07-20T19:30:18Z,cash_out,-10000,212500,202500,bkash,BK-TXN-100058
DRW-TXN-500095,AGENT-002,2024-07-20T21:00:32Z,cash_out,-8000,202500,194500,nagad,NA-TXN-200024
DRW-TXN-500096,AGENT-003,2024-07-20T23:00:52Z,cash_out,-15000,129500,114500,nagad,NA-TXN-200025
DRW-TXN-500097,AGENT-003,2024-07-20T14:30:54Z,cash_out,-2000,114500,112500,bkash,BK-TXN-100059
DRW-TXN-500098,AGENT-004,2024-07-20T21:30:25Z,cash_in,3000,176000,179000,nagad,NA-TXN-200026
DRW-TXN-500099,AGENT-004,2024-07-20T11:00:22Z,cash_in,8000,179000,187000,bkash,BK-TXN-100060
DRW-TXN-500100,AGENT-005,2024-07-20T22:45:52Z,cash_out,-15000,112000,97000,rocket,RO-TXN-300014
DRW-TXN-500101,AGENT-005,2024-07-20T20:15:39Z,cash_out,-3000,97000,94000,bkash,BK-TXN-100061
DRW-TXN-500102,AGENT-006,2024-07-20T21:45:07Z,cash_in,1000,145000,146000,bkash,BK-TXN-100062
DRW-TXN-500103,AGENT-006,2024-07-20T10:30:28Z,cash_out,-1000,146000,145000,nagad,NA-TXN-200027
DRW-TXN-500104,AGENT-007,2024-07-20T21:00:52Z,cash_in,500,83500,84000,rocket,RO-TXN-300015
DRW-TXN-500105,AGENT-007,2024-07-20T14:15:07Z,cash_out,-8000,84000,76000,nagad,NA-TXN-200028
DRW-TXN-500106,AGENT-007,2024-07-20T12:45:37Z,cash_in,5000,76000,81000,nagad,NA-TXN-200029
DRW-TXN-500107,AGENT-008,2024-07-20T11:00:41Z,cash_in,2000,150500,152500,bkash,BK-TXN-100063
DRW-TXN-500108,AGENT-008,2024-07-20T13:30:41Z,cash_out,-20000,152500,132500,rocket,RO-TXN-300016
DRW-TXN-500109,AGENT-001,2024-07-21T12:45:39Z,cash_in,10000,76000,86000,bkash,BK-TXN-100064
DRW-TXN-500110,AGENT-001,2024-07-21T20:00:12Z,cash_out,-15000,86000,71000,nagad,NA-TXN-200030
DRW-TXN-500111,AGENT-001,2024-07-21T15:00:26Z,cash_in,15000,71000,86000,nagad,NA-TXN-200031
DRW-TXN-500112,AGENT-002,2024-07-21T17:00:17Z,cash_in,500,194500,195000,bkash,BK-TXN-100065
DRW-TXN-500113,AGENT-002,2024-07-21T16:30:25Z,cash_out,-10000,195000,185000,bkash,BK-TXN-100066
DRW-TXN-500114,AGENT-003,2024-07-21T17:30:21Z,cash_out,-3000,112500,109500,nagad,NA-TXN-200032
DRW-TXN-500115,AGENT-003,2024-07-21T11:15:31Z,cash_out,-5000,109500,104500,nagad,NA-TXN-200033
DRW-TXN-500116,AGENT-003,2024-07-21T12:15:22Z,cash_out,-3000,104500,101500,bkash,BK-TXN-100067
DRW-TXN-500117,AGENT-003,2024-07-21T15:00:26Z,cash_out,-20000,101500,81500,rocket,RO-TXN-300017
DRW-TXN-500118,AGENT-004,2024-07-21T21:15:53Z,cash_out,-15000,187000,172000,bkash,BK-TXN-100068
DRW-TXN-500119,AGENT-004,2024-07-21T12:45:22Z,cash_out,-1000,172000,171000,bkash,BK-TXN-100069
DRW-TXN-500120,AGENT-004,2024-07-21T12:15:41Z,cash_out,-10000,171000,161000,nagad,NA-TXN-200034
DRW-TXN-500121,AGENT-005,2024-07-21T17:15:26Z,cash_in,1000,94000,95000,bkash,BK-TXN-100070
DRW-TXN-500122,AGENT-005,2024-07-21T13:30:18Z,cash_in,20000,95000,115000,rocket,RO-TXN-300018
DRW-TXN-500123,AGENT-005,2024-07-21T15:30:05Z,cash_out,-20000,115000,95000,bkash,BK-TXN-100071
DRW-TXN-500124,AGENT-006,2024-07-21T18:00:28Z,cash_out,-10000,145000,135000,rocket,RO-TXN-300019
DRW-TXN-500125,AGENT-006,2024-07-21T13:45:34Z,cash_out,-10000,135000,125000,bkash,BK-TXN-100072
DRW-TXN-500126,AGENT-007,2024-07-21T18:00:45Z,cash_out,-8000,81000,73000,bkash,BK-TXN-100073
DRW-TXN-500127,AGENT-008,2024-07-21T17:15:01Z,cash_out,-8000,132500,124500,bkash,BK-TXN-100074
DRW-TXN-500128,AGENT-008,2024-07-21T10:45:10Z,cash_in,20000,124500,144500,nagad,NA-TXN-200035
DRW-TXN-500129,AGENT-008,2024-07-21T15:15:37Z,cash_out,-500,144500,144000,nagad,NA-TXN-200036
DRW-TXN-500130,AGENT-001,2024-07-22T18:00:51Z,cash_out,-1500,86000,84500,bkash,BK-TXN-100075
DRW-TXN-500131,AGENT-001,2024-07-22T21:00:43Z,cash_in,15000,84500,99500,nagad,NA-TXN-200037
DRW-TXN-500132,AGENT-001,2024-07-22T17:15:43Z,cash_out,-10000,99500,89500,bkash,BK-TXN-100076
DRW-TXN-500133,AGENT-001,2024-07-22T10:15:17Z,cash_out,-1500,89500,88000,bkash,BK-TXN-100077
DRW-TXN-500134,AGENT-002,2024-07-22T18:15:03Z,cash_out,-20000,185000,165000,bkash,BK-TXN-100078
DRW-TXN-500135,AGENT-002,2024-07-22T18:00:13Z,cash_out,-1500,165000,163500,bkash,BK-TXN-100079
DRW-TXN-500136,AGENT-002,2024-07-22T18:45:37Z,cash_out,-10000,163500,153500,rocket,RO-TXN-300020
DRW-TXN-500137,AGENT-002,2024-07-22T15:45:54Z,cash_out,-25000,153500,128500,bkash,BK-TXN-100080
DRW-TXN-500138,AGENT-003,2024-07-22T11:45:33Z,cash_out,-1000,81500,80500,bkash,BK-TXN-100081
DRW-TXN-500139,AGENT-003,2024-07-22T11:15:12Z,cash_out,-8000,80500,72500,nagad,NA-TXN-200038
DRW-TXN-500140,AGENT-004,2024-07-22T14:15:33Z,cash_out,-15000,161000,146000,bkash,BK-TXN-100082
DRW-TXN-500141,AGENT-004,2024-07-22T11:15:56Z,cash_out,-1000,146000,145000,bkash,BK-TXN-100083
DRW-TXN-500142,AGENT-004,2024-07-22T19:30:12Z,cash_out,-20000,145000,125000,bkash,BK-TXN-100084
DRW-TXN-500143,AGENT-004,2024-07-22T14:30:08Z,cash_out,-8000,125000,117000,nagad,NA-TXN-200039
DRW-TXN-500144,AGENT-005,2024-07-22T16:45:17Z,cash_out,-25000,95000,70000,bkash,BK-TXN-100085
DRW-TXN-500145,AGENT-005,2024-07-22T08:45:06Z,cash_out,-20000,70000,50000,nagad,NA-TXN-200040
DRW-TXN-500146,AGENT-005,2024-07-22T19:15:50Z,cash_out,-3000,50000,47000,nagad,NA-TXN-200041
DRW-TXN-500147,AGENT-006,2024-07-22T09:45:45Z,cash_in,10000,125000,135000,bkash,BK-TXN-100086
DRW-TXN-500148,AGENT-006,2024-07-22T10:45:50Z,cash_out,-1000,135000,134000,rocket,RO-TXN-300021
DRW-TXN-500149,AGENT-006,2024-07-22T15:00:48Z,cash_in,1000,134000,135000,bkash,BK-TXN-100087
DRW-TXN-500150,AGENT-007,2024-07-22T16:30:56Z,cash_in,25000,73000,98000,bkash,BK-TXN-100088
DRW-TXN-500151,AGENT-007,2024-07-22T16:45:56Z,cash_out,-1000,98000,97000,nagad,NA-TXN-200042
DRW-TXN-500152,AGENT-008,2024-07-22T11:45:16Z,cash_out,-15000,144000,129000,nagad,NA-TXN-200043
DRW-TXN-500153,AGENT-008,2024-07-22T10:45:38Z,cash_out,-500,129000,128500,bkash,BK-TXN-100089
DRW-TXN-500154,AGENT-001,2024-07-23T17:30:47Z,cash_out,-20000,88000,68000,bkash,BK-TXN-100090
DRW-TXN-500155,AGENT-001,2024-07-23T16:45:28Z,cash_out,-15000,68000,53000,nagad,NA-TXN-200044
DRW-TXN-500156,AGENT-002,2024-07-23T19:30:37Z,cash_in,1500,128500,130000,nagad,NA-TXN-200045
DRW-TXN-500157,AGENT-002,2024-07-23T13:30:00Z,cash_in,10000,130000,140000,bkash,BK-TXN-100091
DRW-TXN-500158,AGENT-002,2024-07-23T12:15:22Z,cash_out,-25000,140000,115000,nagad,NA-TXN-200046
DRW-TXN-500159,AGENT-002,2024-07-23T23:45:15Z,cash_in,5000,115000,120000,bkash,BK-TXN-100092
DRW-TXN-500160,AGENT-002,2024-07-23T12:00:40Z,cash_in,500,120000,120500,nagad,NA-TXN-200047
DRW-TXN-500161,AGENT-003,2024-07-23T10:15:49Z,cash_in,1000,72500,73500,bkash,BK-TXN-100093
DRW-TXN-500162,AGENT-003,2024-07-23T08:15:46Z,cash_in,500,73500,74000,nagad,NA-TXN-200048
DRW-TXN-500163,AGENT-003,2024-07-23T13:00:43Z,cash_out,-500,74000,73500,bkash,BK-TXN-100094
DRW-TXN-500164,AGENT-003,2024-07-23T15:45:35Z,cash_in,2000,73500,75500,bkash,BK-TXN-100095
DRW-TXN-500165,AGENT-003,2024-07-23T19:30:40Z,cash_in,5000,75500,80500,bkash,BK-TXN-100096
DRW-TXN-500166,AGENT-004,2024-07-23T10:45:27Z,cash_in,3000,117000,120000,bkash,BK-TXN-100097
DRW-TXN-500167,AGENT-004,2024-07-23T21:15:10Z,cash_in,3000,120000,123000,rocket,RO-TXN-300022
DRW-TXN-500168,AGENT-004,2024-07-23T18:30:46Z,cash_out,-1500,123000,121500,nagad,NA-TXN-200049
DRW-TXN-500169,AGENT-004,2024-07-23T04:45:29Z,cash_out,-20000,121500,101500,bkash,BK-TXN-100098
DRW-TXN-500170,AGENT-005,2024-07-23T11:15:45Z,cash_in,8000,47000,55000,nagad,NA-TXN-200050
DRW-TXN-500171,AGENT-005,2024-07-23T10:30:43Z,cash_out,-10000,55000,45000,nagad,NA-TXN-200051
DRW-TXN-500172,AGENT-005,2024-07-23T21:30:36Z,cash_out,-2000,45000,43000,bkash,BK-TXN-100099
DRW-TXN-500173,AGENT-006,2024-07-23T08:30:00Z,cash_in,3000,135000,138000,bkash,BK-TXN-100100
DRW-TXN-500174,AGENT-006,2024-07-23T14:00:22Z,cash_in,2000,138000,140000,nagad,NA-TXN-200052
DRW-TXN-500175,AGENT-006,2024-07-23T17:30:33Z,cash_in,2000,140000,142000,nagad,NA-TXN-200053
DRW-TXN-500176,AGENT-007,2024-07-23T19:45:33Z,cash_out,-5000,97000,92000,bkash,BK-TXN-100101
DRW-TXN-500177,AGENT-007,2024-07-23T12:15:15Z,cash_out,-1000,92000,91000,nagad,NA-TXN-200054
DRW-TXN-500178,AGENT-008,2024-07-23T08:00:26Z,cash_in,5000,128500,133500,bkash,BK-TXN-100102
DRW-TXN-500179,AGENT-008,2024-07-23T08:00:33Z,cash_out,-25000,133500,108500,bkash,BK-TXN-100103
DRW-TXN-500180,AGENT-001,2024-07-24T08:15:32Z,cash_in,15000,53000,68000,bkash,BK-TXN-100104
DRW-TXN-500181,AGENT-001,2024-07-24T19:30:13Z,cash_out,-10000,68000,58000,bkash,BK-TXN-100105
DRW-TXN-500182,AGENT-001,2024-07-24T11:15:40Z,cash_out,-5000,58000,53000,nagad,NA-TXN-200055
DRW-TXN-500183,AGENT-001,2024-07-24T08:30:39Z,cash_out,-25000,53000,28000,bkash,BK-TXN-100106
DRW-TXN-500184,AGENT-002,2024-07-24T20:15:19Z,cash_in,20000,120500,140500,bkash,BK-TXN-100107
DRW-TXN-500185,AGENT-002,2024-07-24T10:15:45Z,cash_out,-3000,140500,137500,bkash,BK-TXN-100108
DRW-TXN-500186,AGENT-002,2024-07-24T21:30:33Z,cash_in,10000,137500,147500,nagad,NA-TXN-200056
DRW-TXN-500187,AGENT-002,2024-07-24T08:45:41Z,cash_out,-5000,147500,142500,rocket,RO-TXN-300023
DRW-TXN-500188,AGENT-003,2024-07-24T15:15:10Z,cash_in,5000,80500,85500,bkash,BK-TXN-100109
DRW-TXN-500189,AGENT-003,2024-07-24T15:15:56Z,cash_in,500,85500,86000,bkash,BK-TXN-100110
DRW-TXN-500190,AGENT-003,2024-07-24T23:00:22Z,cash_out,-2000,86000,84000,bkash,BK-TXN-100111
DRW-TXN-500191,AGENT-003,2024-07-24T09:30:03Z,cash_out,-10000,84000,74000,bkash,BK-TXN-100112
DRW-TXN-500192,AGENT-003,2024-07-24T14:45:26Z,cash_out,-15000,74000,59000,bkash,BK-TXN-100113
DRW-TXN-500193,AGENT-004,2024-07-24T19:45:53Z,cash_in,3000,101500,104500,bkash,BK-TXN-100114
DRW-TXN-500194,AGENT-004,2024-07-24T20:00:13Z,cash_out,-3000,104500,101500,rocket,RO-TXN-300024
DRW-TXN-500195,AGENT-005,2024-07-24T09:30:09Z,cash_out,-5000,43000,38000,bkash,BK-TXN-100115
DRW-TXN-500196,AGENT-005,2024-07-24T11:15:18Z,cash_out,-1500,38000,36500,nagad,NA-TXN-200057
DRW-TXN-500197,AGENT-005,2024-07-24T14:45:41Z,cash_in,2000,36500,38500,nagad,NA-TXN-200058
DRW-TXN-500198,AGENT-006,2024-07-24T10:30:31Z,cash_out,-10000,142000,132000,rocket,RO-TXN-300025
DRW-TXN-500199,AGENT-006,2024-07-24T21:00:02Z,cash_out,-8000,132000,124000,rocket,RO-TXN-300026
DRW-TXN-500200,AGENT-007,2024-07-24T14:00:21Z,cash_in,8000,91000,99000,bkash,BK-TXN-100116
DRW-TXN-500201,AGENT-007,2024-07-24T11:45:43Z,cash_out,-25000,99000,74000,bkash,BK-TXN-100117
DRW-TXN-500202,AGENT-007,2024-07-24T16:30:02Z,cash_out,-500,74000,73500,bkash,BK-TXN-100118
DRW-TXN-500203,AGENT-008,2024-07-24T18:00:11Z,cash_out,-15000,108500,93500,rocket,RO-TXN-300027
DRW-TXN-500204,AGENT-008,2024-07-24T16:00:05Z,cash_out,-3000,93500,90500,nagad,NA-TXN-200059
DRW-REB-500205,AGENT-001,2024-07-25T08:15:00Z,rebalance,92098,28000,120098,bank,
DRW-TXN-500206,AGENT-001,2024-07-25T13:45:37Z,cash_out,-1500,120098,118598,rocket,RO-TXN-300028
DRW-TXN-500207,AGENT-001,2024-07-25T10:30:22Z,cash_in,5000,118598,123598,bkash,BK-TXN-100119
DRW-TXN-500208,AGENT-001,2024-07-25T14:00:00Z,cash_in,25000,123598,148598,nagad,NA-TXN-200060
DRW-TXN-500209,AGENT-001,2024-07-25T11:30:08Z,cash_out,-500,148598,148098,nagad,NA-TXN-200061
DRW-TXN-500210,AGENT-001,2024-07-25T09:30:55Z,cash_out,-500,148098,147598,nagad,NA-TXN-200062
DRW-TXN-500211,AGENT-002,2024-07-25T00:00:17Z,cash_out,-10000,142500,132500,nagad,NA-TXN-200063
DRW-TXN-500212,AGENT-002,2024-07-25T17:15:11Z,cash_in,20000,132500,152500,bkash,BK-TXN-100120
DRW-TXN-500213,AGENT-002,2024-07-25T20:00:44Z,cash_out,-2000,152500,150500,rocket,RO-TXN-300029
DRW-TXN-500214,AGENT-002,2024-07-25T08:00:18Z,cash_in,25000,150500,175500,bkash,BK-TXN-100121
DRW-TXN-500215,AGENT-003,2024-07-25T18:15:23Z,cash_in,20000,59000,79000,rocket,RO-TXN-300030
DRW-TXN-500216,AGENT-003,2024-07-25T20:30:34Z,cash_out,-5000,79000,74000,nagad,NA-TXN-200064
DRW-TXN-500217,AGENT-003,2024-07-25T23:15:06Z,cash_in,500,74000,74500,rocket,RO-TXN-300031
DRW-TXN-500218,AGENT-003,2024-07-25T08:30:04Z,cash_out,-10000,74500,64500,nagad,NA-TXN-200065
DRW-TXN-500219,AGENT-004,2024-07-25T12:15:09Z,cash_in,10000,101500,111500,bkash,BK-TXN-100122
DRW-TXN-500220,AGENT-004,2024-07-25T09:00:10Z,cash_in,8000,111500,119500,rocket,RO-TXN-300032
DRW-TXN-500221,AGENT-004,2024-07-25T12:00:45Z,cash_out,-25000,119500,94500,bkash,BK-TXN-100123
DRW-TXN-500222,AGENT-004,2024-07-25T18:15:09Z,cash_in,2000,94500,96500,rocket,RO-TXN-300033
DRW-TXN-500223,AGENT-004,2024-07-25T15:15:16Z,cash_out,-500,96500,96000,rocket,RO-TXN-300034
DRW-TXN-500224,AGENT-005,2024-07-25T16:45:38Z,cash_out,-1000,38500,37500,bkash,BK-TXN-100124
DRW-TXN-500225,AGENT-005,2024-07-25T18:45:46Z,cash_in,20000,37500,57500,bkash,BK-TXN-100125
DRW-TXN-500226,AGENT-006,2024-07-25T11:00:43Z,cash_out,-1000,124000,123000,rocket,RO-TXN-300035
